[2021-02-28T08:11:10+0000] [PACMAN] Running 'pacman -Syu --root /tmp/newmsys/msys64'
[2021-02-28T08:11:10+0000] [PACMAN] synchronizing package lists
[2021-02-28T08:12:00+0000] [ALPM] installed openssl (1.1.1.i-1)
[2021-02-28T08:12:00+0000] [ALPM] installed findutils (4.7.0-1)
[2021-02-28T08:12:00+0000] [ALPM] installed sed (4.8-1)
[2021-02-28T08:12:00+0000] [ALPM] installed libffi (3.3-1)
[2021-02-28T08:12:00+0000] [ALPM] installed libpcre (8.44-1)
[2021-02-28T08:12:00+0000] [ALPM] installed less (563-2)
[2021-02-28T08:12:00+0000] [ALPM] installed gzip (1.10-1)
[2021-02-28T08:12:00+0000] [ALPM] installed libcrypt (2.1-2)
[2021-02-28T08:12:00+0000] [ALPM] installed info (6.7-3)
[2021-02-28T08:12:00+0000] [ALPM] installed libtasn1 (4.16.0-1)
[2021-02-28T08:12:00+0000] [ALPM] installed libgpg-error (1.41-2)
[2021-02-28T08:12:00+0000] [ALPM] installed libgcrypt (1.8.7-1)
[2021-02-28T08:12:01+0000] [ALPM] installed libxslt (1.1.34-3)
[2021-02-28T08:12:01+0000] [ALPM] installed glib2 (2.66.6-1)
[2021-02-28T08:12:01+0000] [ALPM] installed libp11-kit (0.23.22-2)
[2021-02-28T08:12:01+0000] [ALPM] installed p11-kit (0.23.22-2)
[2021-02-28T08:12:01+0000] [ALPM] installed ca-certificates (20190110-1)
[2021-02-28T08:12:02+0000] [ALPM] installed brotli (1.0.9-1)
[2021-02-28T08:12:02+0000] [ALPM] installed libdb (5.3.28-3)
[2021-02-28T08:12:02+0000] [ALPM] installed libedit (20191231_3.1-2)
[2021-02-28T08:12:04+0000] [ALPM] installed tcl (8.6.10-1)
[2021-02-28T08:12:04+0000] [ALPM] installed libsqlite (3.34.0-1)
[2021-02-28T08:12:04+0000] [ALPM] installed heimdal-libs (7.7.0-2)
[2021-02-28T08:12:05+0000] [ALPM] installed libunistring (0.9.10-1)
[2021-02-28T08:12:05+0000] [ALPM] installed libidn2 (2.3.0-1)
[2021-02-28T08:12:05+0000] [ALPM] installed libmetalink (0.1.3-3)
[2021-02-28T08:12:05+0000] [ALPM] installed libnghttp2 (1.41.0-1)
[2021-02-28T08:12:05+0000] [ALPM] installed libpsl (0.21.1-2)
[2021-02-28T08:12:05+0000] [ALPM] installed libssh2 (1.9.0-1)
[2021-02-28T08:12:05+0000] [ALPM] installed libcurl (7.74.0-4)
[2021-02-28T08:12:06+0000] [ALPM] installed curl (7.74.0-4)
[2021-02-28T08:12:06+0000] [ALPM] installed grep (3.0-2)
[2021-02-28T08:12:06+0000] [ALPM] installed filesystem (2021.02-1)
[2021-02-28T08:12:06+0000] [ALPM] installed dash (0.5.11.3-1)
[2021-02-28T08:12:06+0000] [ALPM] installed file (5.39-2)
[2021-02-28T08:12:06+0000] [ALPM] installed mpfr (4.1.0-1)
[2021-02-28T08:12:06+0000] [ALPM] installed gawk (5.1.0-1)
[2021-02-28T08:12:07+0000] [ALPM] installed libargp (20110921-2)
[2021-02-28T08:12:07+0000] [ALPM] installed getent (2.18.90-2)
[2021-02-28T08:12:07+0000] [ALPM] installed tftp-hpa (5.2-3)
[2021-02-28T08:12:07+0000] [ALPM] installed inetutils (1.9.4-2)
[2021-02-28T08:12:07+0000] [ALPM] installed mintty (1~3.4.5-1)
[2021-02-28T08:12:07+0000] [ALPM] installed msys2-keyring (1~20210213-1)
[2021-02-28T08:12:07+0000] [ALPM] installed msys2-launcher (1.0-1)
[2021-02-28T08:12:07+0000] [ALPM] installed nano (5.4-1)
[2021-02-28T08:12:07+0000] [ALPM] installed libassuan (2.5.4-1)
[2021-02-28T08:12:07+0000] [ALPM] installed libgnutls (3.7.0-1)
[2021-02-28T08:12:08+0000] [ALPM] installed libksba (1.4.0-1)
[2021-02-28T08:12:08+0000] [ALPM] installed libnpth (1.6-1)
[2021-02-28T08:12:08+0000] [ALPM] installed nettle (3.7-1)
[2021-02-28T08:12:08+0000] [ALPM] installed pinentry (1.1.0-2)
[2021-02-28T08:12:08+0000] [ALPM] installed gnupg (2.2.27-1)
[2021-02-28T08:12:08+0000] [ALPM] installed pacman-mirrors (20210227-1)
[2021-02-28T08:12:08+0000] [ALPM] installed which (2.21-2)
[2021-02-28T08:12:09+0000] [ALPM] installed xz (5.2.5-1)
[2021-02-28T08:12:09+0000] [ALPM] installed zstd (1.4.8-1)
[2021-02-28T08:12:09+0000] [ALPM] installed pacman (5.2.2-12)
[2021-02-28T08:12:09+0000] [ALPM] installed db (5.3.28-3)
[2021-02-28T08:12:09+0000] [ALPM] installed libgdbm (1.19-1)
[2021-02-28T08:12:09+0000] [ALPM] installed gdbm (1.19-1)
[2021-02-28T08:12:13+0000] [ALPM] installed perl (5.32.0-2)
[2021-02-28T08:12:13+0000] [ALPM] installed pacman-contrib (1.4.0-1)
[2021-02-28T08:12:13+0000] [ALPM] installed rebase (4.4.4-2)
[2021-02-28T08:12:13+0000] [ALPM] installed time (1.9-1)
[2021-02-28T08:12:16+0000] [ALPM] installed tzcode (2020f-1)
[2021-02-28T08:12:16+0000] [ALPM] installed libutil-linux (2.35.2-1)
[2021-02-28T08:12:16+0000] [ALPM] installed util-linux (2.35.2-1)
[2021-02-28T08:12:16+0000] [ALPM] installed libgpgme (1.15.1-1)
[2021-02-28T08:12:17+0000] [ALPM] installed libpcre2_8 (10.36-1)
[2021-02-28T08:12:17+0000] [ALPM] installed wget (1.21.1-2)
[2021-02-28T08:12:17+0000] [ALPM] installed base (2020.12-1)
[2021-02-28T08:12:17+0000] [ALPM] transaction completed
[2021-02-28T08:12:17+0000] [ALPM] running 'texinfo-install.hook'...
[2021-03-24T16:08:33-0300] [PACMAN] Running 'pacman -S mingw-w64-x86_64-glew'
[2021-03-24T16:08:47-0300] [ALPM] transaction started
[2021-03-24T16:08:47-0300] [ALPM] installed mingw-w64-x86_64-glew (2.2.0-2)
[2021-03-24T16:08:47-0300] [ALPM] transaction completed
[2021-03-24T16:19:36-0300] [PACMAN] Running 'pacman -S zsh'
[2021-03-24T16:19:41-0300] [ALPM] transaction started
[2021-03-24T16:19:41-0300] [ALPM] installed libpcre16 (8.44-1)
[2021-03-24T16:19:41-0300] [ALPM] installed libpcre32 (8.44-1)
[2021-03-24T16:19:41-0300] [ALPM] installed libpcrecpp (8.44-1)
[2021-03-24T16:19:41-0300] [ALPM] installed libpcreposix (8.44-1)
[2021-03-24T16:19:42-0300] [ALPM] installed pcre (8.44-1)
[2021-03-24T16:19:46-0300] [ALPM] installed zsh (5.8-5)
[2021-03-24T16:19:46-0300] [ALPM] transaction completed
[2021-03-24T16:23:54-0300] [PACMAN] Running 'pacman -S base-devel'
[2021-03-24T16:24:39-0300] [ALPM] transaction started
[2021-03-24T16:24:39-0300] [ALPM] installed mpdecimal (2.5.0-1)
[2021-03-24T16:24:40-0300] [ALPM] reinstalled gettext (0.19.8.1-1)
[2021-03-24T16:25:09-0300] [ALPM] installed python (3.8.7-1)
[2021-03-24T16:25:09-0300] [ALPM] installed docbook-xml (4.5-2)
[2021-03-24T16:25:15-0300] [ALPM] installed docbook-xsl (1.79.2-1)
[2021-03-24T16:25:15-0300] [ALPM] installed asciidoc (9.1.0-1)
[2021-03-24T16:25:16-0300] [ALPM] reinstalled gawk (5.1.0-1)
[2021-03-24T16:25:16-0300] [ALPM] installed m4 (1.4.18-2)
[2021-03-24T16:25:16-0300] [ALPM] installed diffutils (3.7-1)
[2021-03-24T16:25:28-0300] [ALPM] reinstalled perl (5.32.0-2)
[2021-03-24T16:25:29-0300] [ALPM] reinstalled sed (4.8-1)
[2021-03-24T16:25:29-0300] [ALPM] installed autoconf (2.71-1)
[2021-03-24T16:25:29-0300] [ALPM] installed autoconf2.13 (2.13-3)
[2021-03-24T16:25:29-0300] [ALPM] installed libatomic_ops (7.6.10-1)
[2021-03-24T16:25:29-0300] [ALPM] installed libgc (8.0.4-1)
[2021-03-24T16:25:30-0300] [ALPM] installed libltdl (2.4.6-9)
[2021-03-24T16:25:33-0300] [ALPM] installed libguile (2.2.7-1)
[2021-03-24T16:25:34-0300] [ALPM] installed autogen (5.18.16-1)
[2021-03-24T16:25:34-0300] [ALPM] installed automake1.6 (1.6.3-3)
[2021-03-24T16:25:35-0300] [ALPM] installed automake1.7 (1.7.9-3)
[2021-03-24T16:25:35-0300] [ALPM] installed automake1.8 (1.8.5-4)
[2021-03-24T16:25:36-0300] [ALPM] installed automake1.9 (1.9.6-3)
[2021-03-24T16:25:36-0300] [ALPM] installed automake1.10 (1.10.3-4)
[2021-03-24T16:25:37-0300] [ALPM] installed automake1.11 (1.11.6-4)
[2021-03-24T16:25:38-0300] [ALPM] installed automake1.12 (1.12.6-4)
[2021-03-24T16:25:38-0300] [ALPM] installed automake1.13 (1.13.4-5)
[2021-03-24T16:25:39-0300] [ALPM] installed automake1.14 (1.14.1-4)
[2021-03-24T16:25:40-0300] [ALPM] installed automake1.15 (1.15.1-2)
[2021-03-24T16:25:40-0300] [ALPM] installed automake1.16 (1.16.3-1)
[2021-03-24T16:25:41-0300] [ALPM] installed automake-wrapper (11-1)
[2021-03-24T16:25:41-0300] [ALPM] installed bison (3.7.4-1)
[2021-03-24T16:25:42-0300] [ALPM] installed btyacc (20200910-1)
[2021-03-24T16:25:42-0300] [ALPM] installed diffstat (1.63-1)
[2021-03-24T16:25:42-0300] [ALPM] installed dos2unix (7.4.2-1)
[2021-03-24T16:25:42-0300] [ALPM] reinstalled file (5.39-2)
[2021-03-24T16:25:42-0300] [ALPM] installed flex (2.6.4-1)
[2021-03-24T16:25:43-0300] [ALPM] installed expat (2.2.10-1)
[2021-03-24T16:25:43-0300] [ALPM] installed gdb (9.2-3)
[2021-03-24T16:25:43-0300] [ALPM] installed libiconv-devel (1.16-2)
[2021-03-24T16:25:43-0300] [ALPM] installed gettext-devel (0.19.8.1-1)
[2021-03-24T16:25:43-0300] [ALPM] installed gperf (3.1-2)
[2021-03-24T16:25:44-0300] [ALPM] reinstalled grep (3.0-2)
[2021-03-24T16:25:48-0300] [ALPM] installed groff (1.22.4-1)
[2021-03-24T16:25:48-0300] [ALPM] installed perl-Locale-Gettext (1.07-7)
[2021-03-24T16:25:48-0300] [ALPM] installed help2man (1.47.16-1)
[2021-03-24T16:25:49-0300] [ALPM] installed perl-XML-Parser (2.46-3)
[2021-03-24T16:25:49-0300] [ALPM] installed intltool (0.51.0-2)
[2021-03-24T16:25:49-0300] [ALPM] installed tar (1.33-1)
[2021-03-24T16:25:49-0300] [ALPM] installed libtool (2.4.6-9)
[2021-03-24T16:25:50-0300] [ALPM] installed libunrar (6.0.3-1)
[2021-03-24T16:25:50-0300] [ALPM] installed libunrar-devel (6.0.3-1)
[2021-03-24T16:25:50-0300] [ALPM] installed make (4.3-1)
[2021-03-24T16:25:50-0300] [ALPM] installed libpipeline (1.5.3-2)
[2021-03-24T16:25:51-0300] [ALPM] installed man-db (2.9.3-1)
[2021-03-24T16:25:51-0300] [ALPM-SCRIPTLET] it's recommended to create an initial
[2021-03-24T16:25:51-0300] [ALPM-SCRIPTLET] database running as root:
[2021-03-24T16:25:51-0300] [ALPM-SCRIPTLET] "/usr/bin/mandb --quiet"
[2021-03-24T16:25:53-0300] [ALPM] reinstalled pacman (5.2.2-12)
[2021-03-24T16:25:53-0300] [ALPM] installed libarchive (3.5.1-1)
[2021-03-24T16:25:53-0300] [ALPM] installed pkgfile (21-1)
[2021-03-24T16:25:53-0300] [ALPM-SCRIPTLET] ==> Run 'pkgfile --update' to initialize the database
[2021-03-24T16:25:53-0300] [ALPM] reinstalled wget (1.21.1-2)
[2021-03-24T16:25:54-0300] [ALPM] installed pactoys-git (r2.07ca37f-1)
[2021-03-24T16:25:54-0300] [ALPM] installed patch (2.7.6-1)
[2021-03-24T16:25:54-0300] [ALPM] installed libpcre2_16 (10.36-1)
[2021-03-24T16:25:54-0300] [ALPM] installed libpcre2_32 (10.36-1)
[2021-03-24T16:25:54-0300] [ALPM] installed libpcre2posix (10.36-1)
[2021-03-24T16:25:54-0300] [ALPM] installed pcre2 (10.36-1)
[2021-03-24T16:25:55-0300] [ALPM] installed patchutils (0.4.2-1)
[2021-03-24T16:25:55-0300] [ALPM] installed pkgconf (1.7.3-2)
[2021-03-24T16:25:55-0300] [ALPM] installed quilt (0.66-2)
[2021-03-24T16:25:55-0300] [ALPM] installed reflex (20200715-1)
[2021-03-24T16:25:58-0300] [ALPM] installed scons (3.1.2-4)
[2021-03-24T16:26:01-0300] [ALPM] installed swig (4.0.2-1)
[2021-03-24T16:26:03-0300] [ALPM] installed texinfo (6.7-3)
[2021-03-24T16:26:03-0300] [ALPM] installed texinfo-tex (6.7-3)
[2021-03-24T16:26:03-0300] [ALPM] installed ttyrec (1.0.8-2)
[2021-03-24T16:26:03-0300] [ALPM] installed unrar (6.0.3-1)
[2021-03-24T16:26:03-0300] [ALPM] installed perl-YAML-Syck (1.34-1)
[2021-03-24T16:26:03-0300] [ALPM] installed perl-inc-latest (0.500-1)
[2021-03-24T16:26:03-0300] [ALPM] installed perl-Module-Build (0.4231-1)
[2021-03-24T16:26:03-0300] [ALPM] installed perl-Test-Pod (1.52-1)
[2021-03-24T16:26:03-0300] [ALPM] installed xmlto (0.0.28-2)
[2021-03-24T16:26:03-0300] [ALPM] transaction completed
[2021-03-24T16:26:03-0300] [ALPM] running 'texinfo-install.hook'...
[2021-03-24T16:29:12-0300] [PACMAN] Running 'pacman -S gcc make'
[2021-03-24T16:29:17-0300] [PACMAN] Running 'pacman -S gcc'
[2021-03-24T16:29:35-0300] [ALPM] transaction started
[2021-03-24T16:29:37-0300] [ALPM] installed binutils (2.36.1-1)
[2021-03-24T16:29:37-0300] [ALPM] installed isl (0.22.1-1)
[2021-03-24T16:29:37-0300] [ALPM] installed mpc (1.1.0-1)
[2021-03-24T16:29:38-0300] [ALPM] installed msys2-runtime-devel (3.1.7-4)
[2021-03-24T16:29:44-0300] [ALPM] installed msys2-w32api-headers (8.0.0.5683.629fd2b1-1)
[2021-03-24T16:29:47-0300] [ALPM] installed msys2-w32api-runtime (8.0.0.5683.629fd2b1-1)
[2021-03-24T16:29:47-0300] [ALPM] installed windows-default-manifest (6.4-1)
[2021-03-24T16:29:51-0300] [ALPM] installed gcc (10.2.0-1)
[2021-03-24T16:29:52-0300] [ALPM] transaction completed
[2021-03-24T16:29:52-0300] [ALPM] running 'texinfo-install.hook'...
[2021-03-24T17:17:47-0300] [PACMAN] Running 'pacman -S mingw-w64-x86_64-toolchain'
[2021-03-24T17:18:46-0300] [ALPM] transaction started
[2021-03-24T17:18:46-0300] [ALPM] installed mingw-w64-x86_64-libiconv (1.16-2)
[2021-03-24T17:18:46-0300] [ALPM] installed mingw-w64-x86_64-zlib (1.2.11-9)
[2021-03-24T17:18:48-0300] [ALPM] installed mingw-w64-x86_64-binutils (2.36.1-1)
[2021-03-24T17:18:55-0300] [ALPM] installed mingw-w64-x86_64-headers-git (9.0.0.6118.ea40a87a-1)
[2021-03-24T17:18:58-0300] [ALPM] installed mingw-w64-x86_64-crt-git (9.0.0.6118.ea40a87a-1)
[2021-03-24T17:18:58-0300] [ALPM] installed mingw-w64-x86_64-isl (0.23-1)
[2021-03-24T17:18:58-0300] [ALPM] installed mingw-w64-x86_64-gmp (6.2.1-1)
[2021-03-24T17:18:59-0300] [ALPM] installed mingw-w64-x86_64-mpfr (4.1.0-3)
[2021-03-24T17:18:59-0300] [ALPM] installed mingw-w64-x86_64-mpc (1.2.1-1)
[2021-03-24T17:18:59-0300] [ALPM] installed mingw-w64-x86_64-libwinpthread-git (9.0.0.6118.ea40a87a-1)
[2021-03-24T17:18:59-0300] [ALPM] installed mingw-w64-x86_64-gcc-libs (10.2.0-6)
[2021-03-24T17:18:59-0300] [ALPM] installed mingw-w64-x86_64-windows-default-manifest (6.4-3)
[2021-03-24T17:18:59-0300] [ALPM] installed mingw-w64-x86_64-winpthreads-git (9.0.0.6118.ea40a87a-1)
[2021-03-24T17:18:59-0300] [ALPM] installed mingw-w64-x86_64-zstd (1.4.8-2)
[2021-03-24T17:19:03-0300] [ALPM] installed mingw-w64-x86_64-gcc (10.2.0-6)
[2021-03-24T17:19:13-0300] [ALPM] installed mingw-w64-x86_64-gcc-ada (10.2.0-6)
[2021-03-24T17:19:13-0300] [ALPM] installed mingw-w64-x86_64-gcc-libgfortran (10.2.0-6)
[2021-03-24T17:19:13-0300] [ALPM] installed mingw-w64-x86_64-gcc-fortran (10.2.0-6)
[2021-03-24T17:19:13-0300] [ALPM] installed mingw-w64-x86_64-gcc-objc (10.2.0-6)
[2021-03-24T17:19:13-0300] [ALPM] installed mingw-w64-x86_64-expat (2.2.10-1)
[2021-03-24T17:19:21-0300] [ALPM] installed mingw-w64-x86_64-gettext (0.19.8.1-10)
[2021-03-24T17:19:21-0300] [ALPM] installed mingw-w64-x86_64-libtre-git (r128.6fb7206-2)
[2021-03-24T17:19:21-0300] [ALPM] installed mingw-w64-x86_64-libsystre (1.0.1-4)
[2021-03-24T17:19:37-0300] [ALPM] installed mingw-w64-x86_64-ncurses (6.2-2)
[2021-03-24T17:19:37-0300] [ALPM] installed mingw-w64-x86_64-bzip2 (1.0.8-2)
[2021-03-24T17:19:37-0300] [ALPM] installed mingw-w64-x86_64-libffi (3.3-3)
[2021-03-24T17:19:37-0300] [ALPM] installed mingw-w64-x86_64-mpdecimal (2.5.0-1)
[2021-03-24T17:19:38-0300] [ALPM] installed mingw-w64-x86_64-libtasn1 (4.16.0-1)
[2021-03-24T17:19:38-0300] [ALPM] installed mingw-w64-x86_64-p11-kit (0.23.22-1)
[2021-03-24T17:19:38-0300] [ALPM] installed mingw-w64-x86_64-ca-certificates (20200601-2)
[2021-03-24T17:19:52-0300] [ALPM] installed mingw-w64-x86_64-openssl (1.1.1.j-1)
[2021-03-24T17:19:52-0300] [ALPM] installed mingw-w64-x86_64-termcap (1.3.1-6)
[2021-03-24T17:19:52-0300] [ALPM] installed mingw-w64-x86_64-readline (8.0.004-2)
[2021-03-24T17:19:57-0300] [ALPM] installed mingw-w64-x86_64-tcl (8.6.11-2)
[2021-03-24T17:19:59-0300] [ALPM] installed mingw-w64-x86_64-sqlite3 (3.34.1-1)
[2021-03-24T17:20:01-0300] [ALPM] installed mingw-w64-x86_64-tk (8.6.11.1-1)
[2021-03-24T17:20:02-0300] [ALPM] installed mingw-w64-x86_64-xz (5.2.5-2)
[2021-03-24T17:20:33-0300] [ALPM] installed mingw-w64-x86_64-python (3.8.8-2)
[2021-03-24T17:20:33-0300] [ALPM] installed mingw-w64-x86_64-xxhash (0.8.0-1)
[2021-03-24T17:20:33-0300] [ALPM] installed mingw-w64-x86_64-gdb (10.1-2)
[2021-03-24T17:20:33-0300] [ALPM] installed mingw-w64-x86_64-gdb-multiarch (10.1-2)
[2021-03-24T17:20:33-0300] [ALPM] installed mingw-w64-x86_64-libgccjit (10.2.0-6)
[2021-03-24T17:20:33-0300] [ALPM] installed mingw-w64-x86_64-libmangle-git (9.0.0.6118.ea40a87a-1)
[2021-03-24T17:20:34-0300] [ALPM] installed mingw-w64-x86_64-make (4.3-1)
[2021-03-24T17:20:34-0300] [ALPM] installed mingw-w64-x86_64-pkgconf (1.7.3-6)
[2021-03-24T17:20:34-0300] [ALPM] installed mingw-w64-x86_64-tools-git (9.0.0.6118.ea40a87a-1)
[2021-03-24T17:20:34-0300] [ALPM] installed mingw-w64-x86_64-winstorecompat-git (9.0.0.6118.ea40a87a-1)
[2021-03-24T17:20:34-0300] [ALPM] transaction completed
[2021-03-24T19:15:39-0300] [PACMAN] Running 'pacman -S mingw-w64-x86_64-glbinding'
[2021-03-24T19:15:43-0300] [ALPM] transaction started
[2021-03-24T19:15:45-0300] [ALPM] installed mingw-w64-x86_64-glbinding (3.1.0-2)
[2021-03-24T19:15:45-0300] [ALPM] transaction completed
[2021-03-24T19:53:19-0300] [PACMAN] Running 'pacman -S mingw-w64-x86_64-glfw'
[2021-03-24T19:53:23-0300] [ALPM] transaction started
[2021-03-24T19:53:23-0300] [ALPM] installed mingw-w64-x86_64-glfw (3.3.3-1)
[2021-03-24T19:53:23-0300] [ALPM] transaction completed
[2021-03-24T20:02:51-0300] [PACMAN] Running 'pacman -S mingw-w64-x86_64-glfw'
[2021-03-24T20:03:02-0300] [PACMAN] Running 'pacman -S mingw-w64-x86_64-opengl'
[2021-03-24T20:03:23-0300] [PACMAN] Running 'pacman -S mingw-w64-x86_64-glade mingw-w64-x86_64-glm'
[2021-03-24T20:03:54-0300] [ALPM] transaction started
[2021-03-24T20:03:55-0300] [ALPM] installed mingw-w64-x86_64-hicolor-icon-theme (0.17-2)
[2021-03-24T20:03:55-0300] [ALPM] installed mingw-w64-x86_64-wineditline (2.205-3)
[2021-03-24T20:03:55-0300] [ALPM] installed mingw-w64-x86_64-pcre (8.44-2)
[2021-03-24T20:03:57-0300] [ALPM] installed mingw-w64-x86_64-glib2 (2.66.7-1)
[2021-03-24T20:03:58-0300] [ALPM] installed mingw-w64-x86_64-libjpeg-turbo (2.0.6-1)
[2021-03-24T20:03:58-0300] [ALPM] installed mingw-w64-x86_64-libpng (1.6.37-3)
[2021-03-24T20:03:58-0300] [ALPM] installed mingw-w64-x86_64-libdeflate (1.7-1)
[2021-03-24T20:03:58-0300] [ALPM] installed mingw-w64-x86_64-giflib (5.2.1-1)
[2021-03-24T20:03:58-0300] [ALPM] installed mingw-w64-x86_64-libwebp (1.2.0-1)
[2021-03-24T20:03:59-0300] [ALPM] installed mingw-w64-x86_64-libtiff (4.2.0-1)
[2021-03-24T20:04:00-0300] [ALPM] installed mingw-w64-x86_64-gdk-pixbuf2 (2.42.2-1)
[2021-03-24T20:04:00-0300] [ALPM] installed mingw-w64-x86_64-brotli (1.0.9-2)
[2021-03-24T20:04:00-0300] [ALPM] installed mingw-w64-x86_64-graphite2 (1.3.14-2)
[2021-03-24T20:04:01-0300] [ALPM] installed mingw-w64-x86_64-harfbuzz (2.7.4-1)
[2021-03-24T20:04:01-0300] [ALPM] installed mingw-w64-x86_64-freetype (2.10.4-1)
[2021-03-24T20:04:01-0300] [ALPM] installed mingw-w64-x86_64-fontconfig (2.13.93-1)
[2021-03-24T20:04:01-0300] [ALPM-SCRIPTLET] 
[2021-03-24T20:04:01-0300] [ALPM-SCRIPTLET]   Fontconfig configuration is done via /mingw64/etc/fonts/conf.avail and conf.d.
[2021-03-24T20:04:01-0300] [ALPM-SCRIPTLET]   Read /mingw64/etc/fonts/conf.d/README for more information.
[2021-03-24T20:04:01-0300] [ALPM-SCRIPTLET] 
[2021-03-24T20:04:05-0300] [ALPM-SCRIPTLET] updating font cache... done.
[2021-03-24T20:04:05-0300] [ALPM] installed mingw-w64-x86_64-lzo2 (2.10-1)
[2021-03-24T20:04:05-0300] [ALPM] installed mingw-w64-x86_64-pixman (0.40.0-2)
[2021-03-24T20:04:06-0300] [ALPM] installed mingw-w64-x86_64-cairo (1.17.4-2)
[2021-03-24T20:04:06-0300] [ALPM] installed mingw-w64-x86_64-fribidi (1.0.10-2)
[2021-03-24T20:04:06-0300] [ALPM] installed mingw-w64-x86_64-libdatrie (0.2.12-1)
[2021-03-24T20:04:06-0300] [ALPM] installed mingw-w64-x86_64-libthai (0.1.28-2)
[2021-03-24T20:04:07-0300] [ALPM] installed mingw-w64-x86_64-pango (1.48.2-1)
[2021-03-24T20:04:08-0300] [ALPM] installed mingw-w64-x86_64-libxml2 (2.9.10-6)
[2021-03-24T20:04:08-0300] [ALPM] installed mingw-w64-x86_64-librsvg (2.50.3-1)
[2021-03-24T20:04:28-0300] [ALPM] installed mingw-w64-x86_64-adwaita-icon-theme (3.38.0-3)
[2021-03-24T20:04:29-0300] [ALPM] installed mingw-w64-x86_64-atk (2.36.0-2)
[2021-03-24T20:04:30-0300] [ALPM] installed mingw-w64-x86_64-json-glib (1.6.2-1)
[2021-03-24T20:04:30-0300] [ALPM] installed mingw-w64-x86_64-libepoxy (1.5.5-1)
[2021-03-24T20:04:30-0300] [ALPM] installed mingw-w64-x86_64-shared-mime-info (2.0-4)
[2021-03-24T20:04:33-0300] [ALPM] installed mingw-w64-x86_64-gtk-update-icon-cache (3.24.25-1)
[2021-03-24T20:04:36-0300] [ALPM] installed mingw-w64-x86_64-gtk3 (3.24.25-1)
[2021-03-24T20:04:37-0300] [ALPM] installed mingw-w64-x86_64-libunistring (0.9.10-2)
[2021-03-24T20:04:37-0300] [ALPM] installed mingw-w64-x86_64-libidn2 (2.3.0-1)
[2021-03-24T20:04:37-0300] [ALPM] installed mingw-w64-x86_64-nettle (3.7-1)
[2021-03-24T20:04:42-0300] [ALPM] installed mingw-w64-x86_64-gnutls (3.7.0-1)
[2021-03-24T20:04:42-0300] [ALPM] installed mingw-w64-x86_64-libproxy (0.4.17-1)
[2021-03-24T20:04:42-0300] [ALPM] installed mingw-w64-x86_64-adobe-source-code-pro-fonts (2.030ro+1.050it-2)
[2021-03-24T20:04:42-0300] [ALPM] installed mingw-w64-x86_64-cantarell-fonts (0.201-3)
[2021-03-24T20:04:43-0300] [ALPM] installed mingw-w64-x86_64-gsettings-desktop-schemas (3.38.0-2)
